UnitID,ZIP code,Institution Name,State abbreviation,Librarians FTE staff,Total library FTE staff,Total salaries and wages from the library budget,Avg_Salary
118912,92056-3899,MiraCosta College,CA,9.03,17.38,1876024.0,107941.5420023015
110699,94143-0244,University of California-San Francisco,CA,14.0,56.0,5512821.0,98443.23214285714
139755,30332-0530,Georgia Institute of Technology-Main Campus,GA,23.0,87.0,7654100.0,87978.16091954023
191649,11549,Hofstra University,NY,12.33,52.76,4575431.0,86721.58832448826
166683,02139-4307,Massachusetts Institute of Technology,MA,29.0,155.0,13091703.0,84462.6
193478,11530-6793,Nassau Community College,NY,9.0,28.0,2358528.0,84233.14285714286
190637,10468,CUNY Lehman College,NY,15.0,24.12,2012954.0,83455.80431177445
186399,07102,Rutgers University-Newark,NJ,21.67,53.08,4422962.0,83326.33760361718
130493,06515-1355,Southern Connecticut State University,CT,15.65,29.91,2467478.0,82496.7569374791
110644,95616-8678,University of California-Davis,CA,41.0,142.04,11717258.0,82492.66403829907
190512,10010,CUNY Bernard M Baruch College,NY,25.46,45.76,3767367.0,82328.8243006993
190558,10314,College of Staten Island CUNY,NY,14.8,23.46,1907149.0,81293.64876385336
416801,77030-4009,The University of Texas MD Anderson Cancer Center,TX,15.0,36.0,2893426.0,80372.94444444444
190691,11451,CUNY York College,NY,8.93,17.63,1415248.0,80274.98581962564
167987,02747-2300,University of Massachusetts-Dartmouth,MA,12.0,26.89,2154416.0,80119.59836370398
163259,21201-1627,University of Maryland  Baltimore,MD,34.0,69.0,5504662.0,79777.71014492754
164155,21402-1300,United States Naval Academy,MD,19.0,28.5,2269604.0,79635.22807017544
110662,90095-1405,University of California-Los Angeles,CA,106.0,386.0,30575841.0,79212.02331606217
186371,08102,Rutgers University-Camden,NJ,12.71,33.34,2640025.0,79184.91301739651
209490,97239-3098,Oregon Health & Science University,OR,11.19,29.51,2326621.0,78841.78244662826
167729,01970,Salem State University,MA,11.0,23.5,1840232.0,78307.74468085106
185590,07043-1624,Montclair State University,NJ,14.95,39.72,3085578.0,77683.2326283988
235097,99004-2496,Eastern Washington University,WA,11.32,26.21,2035583.0,77664.36474628004
122755,95192-0001,San Jose State University,CA,30.64,82.66,6411190.0,77560.97265908541
130794,06520,Yale University,CT,246.0,528.0,40914711.0,77489.98295454546
190600,10019,CUNY John Jay College of Criminal Justice,NY,12.9,27.91,2160622.0,77413.90182730205
238263,53704-2599,Madison Area Technical College,WI,13.0,18.0,1388447.0,77135.94444444444
129215,06226,Eastern Connecticut State University,CT,11.02,23.34,1783933.0,76432.43359040274
186122,08542-0803,Princeton Theological Seminary,NJ,11.5,22.9,1729532.0,75525.41484716158
110635,94720,University of California-Berkeley,CA,108.0,426.0,32133819.0,75431.5
190594,10065,CUNY Hunter College,NY,19.87,46.37,3497025.0,75415.67824024154
110617,95819-2694,California State University-Sacramento,CA,19.11,57.82,4359643.0,75400.25942580422
122612,94117-1080,University of San Francisco,CA,24.0,57.98,4311721.0,74365.66057261125
190585,10451,CUNY Hostos Community College,NY,11.3,21.33,1585317.0,74323.34739803095
191241,10458,Fordham University,NY,43.0,72.5,5385536.0,74283.25517241379
173957,55905,Mayo Clinic College of Medicine and Science,MN,35.25,68.64,5092621.0,74193.19638694638
190150,10027,Columbia University in the City of New York,NY,138.17,366.46,27182501.0,74175.9018719642
190549,11210,CUNY Brooklyn College,NY,17.45,46.12,3406477.0,73861.16652211623
192448,11548-1327,Long Island University,NY,13.0,25.67,1895259.0,73831.67121153096
200280,58202-8193,University of North Dakota,ND,30.0,63.15,4607601.0,72962.8028503563
122597,94132,San Francisco State University,CA,23.08,62.86,4575870.0,72794.6229716831
110714,95064-1011,University of California-Santa Cruz,CA,22.0,76.2,5544781.0,72766.15485564304
184782,08028,Rowan University,NJ,18.0,64.5,4678149.0,72529.44186046511
190576,10016,CUNY Graduate School and University Center,NY,12.4,33.6,2420485.0,72038.24404761904
215062,19104-6303,University of Pennsylvania,PA,121.3,349.53,25124516.0,71880.85715103139
186380,08901-1281,Rutgers University-New Brunswick,NJ,49.29,172.45,12395304.0,71877.6688895332
234076,22903-2628,University of Virginia-Main Campus,VA,101.0,299.48,21443510.0,71602.47762788834
110705,93106,University of California-Santa Barbara,CA,44.0,144.0,10304259.0,71557.35416666667
113856,91754-6099,East Los Angeles College,CA,15.0,25.94,1850666.0,71344.10177332305
487010,38163,The University of Tennessee Health Science Center,TN,10.0,19.25,1358838.0,70588.98701298701
