unitid,institution name,ZIP code,State abbreviation,Librarians FTE staff,Total library FTE staff,Total salaries and wages from the library budget,Avg_Salary
166027,Harvard University,02138,Massachusetts,391.1,811.54,56138193.0,69174.89341252434
130794,Yale University,06520,Connecticut,246.0,528.0,40914711.0,77489.98295454546
170976,University of Michigan-Ann Arbor,48109,Michigan,215.0,558.0,36214334.0,64900.24014336918
214777,Pennsylvania State University-Main Campus,16802-1503,Pennsylvania,198.1,547.5,29133417.0,53211.7205479452
145637,University of Illinois Urbana-Champaign,61820-5711,Illinois,179.08,385.75,23166659.0,60056.14776409592
228778,The University of Texas at Austin,78705,Texas,155.0,455.0,20916518.0,45970.36923076923
199120,University of North Carolina at Chapel Hill,27599,North Carolina,147.0,314.76,17273657.0,54878.81878256449
190150,Columbia University in the City of New York,10027,New York,138.17,366.46,27182501.0,74175.9018719642
236948,University of Washington-Seattle Campus,98195-4550,Washington,122.0,354.0,19688179.0,55616.32485875706
215062,University of Pennsylvania,19104-6303,Pennsylvania,121.3,349.53,25124516.0,71880.85715103139
198419,Duke University,27708,North Carolina,119.9,313.3,19870727.0,63423.9610596872
134130,University of Florida,32611,Florida,116.0,402.0,15428793.0,38380.08208955224
139658,Emory University,30322,Georgia,116.0,364.0,18721475.0,51432.62362637363
240444,University of Wisconsin-Madison,53706-1380,Wisconsin,113.0,319.0,17192647.0,53895.44514106583
243744,Stanford University,94305,California,109.0,533.0,35868845.0,67296.14446529081
110635,University of California-Berkeley,94720,California,108.0,426.0,32133819.0,75431.5
110662,University of California-Los Angeles,90095-1405,California,106.0,386.0,30575841.0,79212.02331606217
199193,North Carolina State University at Raleigh,27695-7001,North Carolina,104.0,247.0,14687062.0,59461.78947368421
190415,Cornell University,14853,New York,102.97,321.35,21756408.0,67703.15232612415
234076,University of Virginia-Main Campus,22903-2628,Virginia,101.0,299.48,21443510.0,71602.47762788834
233921,Virginia Polytechnic Institute and State University,24061-0131,Virginia,95.5,194.5,9587277.0,49291.91259640103
215293,University of Pittsburgh-Pittsburgh Campus,15260,Pennsylvania,95.0,304.5,12554024.0,41228.32183908046
174066,University of Minnesota-Twin Cities,55455-0213,Minnesota,94.0,279.0,18689534.0,66987.5770609319
228723,Texas A & M University-College Station,77843-1246,Texas,92.0,283.73,15387763.0,54233.82441053114
151351,Indiana University-Bloomington,47405-7000,Indiana,90.0,353.07,17013338.0,48186.86945931402
193900,New York University,10012-1091,New York,89.0,305.89,21281829.0,69573.4708555363
179867,Washington University in St Louis,63130-4899,Missouri,89.0,197.0,11466784.0,58207.02538071066
171100,Michigan State University,48824-1046,Michigan,88.0,264.0,16073414.0,60884.143939393936
164924,Boston College,02467,Massachusetts,87.0,178.0,10814443.0,60755.29775280899
153658,University of Iowa,52242-1316,Iowa,87.0,219.0,13518478.0,61728.2100456621
204796,Ohio State University-Main Campus,43210,Ohio,85.0,370.0,17296924.0,46748.44324324325
139959,University of Georgia,30602,Georgia,82.0,274.0,12223162.0,44610.0802919708
186131,Princeton University,08544-0070,New Jersey,81.0,421.0,26197673.0,62227.25178147268
131496,Georgetown University,20057-0001,District of Columbia,76.0,172.0,10467390.0,60856.91860465116
164988,Boston University,02215,Massachusetts,76.0,215.0,11468294.0,53340.902325581395
221759,The University of Tennessee-Knoxville,37996,Tennessee,75.0,214.0,11716552.0,54750.2429906542
134097,Florida State University,32306-1037,Florida,74.0,242.11,9772293.0,40363.02920160258
159391,Louisiana State University and Agricultural & Mechanical College,70803-2750,Louisiana,72.0,146.51,6356840.0,43388.43764930722
218663,University of South Carolina-Columbia,29208,South Carolina,71.0,187.0,9414910.0,50347.11229946524
221999,Vanderbilt University,37240,Tennessee,70.0,170.0,9902637.0,58250.80588235294
135726,University of Miami,33146,Florida,69.0,197.0,10655483.0,54088.7461928934
162928,Johns Hopkins University,21218-2688,Maryland,67.0,233.0,15280915.0,65583.32618025751
152080,University of Notre Dame,46556,Indiana,66.0,193.0,11155296.0,57799.461139896375
147767,Northwestern University,60208,Illinois,65.0,222.0,12339039.0,55581.25675675676
234030,Virginia Commonwealth University,23284-2512,Virginia,64.0,160.71,8765391.0,54541.665111069626
123961,University of Southern California,90089,California,63.0,298.0,16870622.0,56612.82550335571
228246,Southern Methodist University,75275-0221,Texas,63.0,111.5,6827049.0,61229.139013452914
129020,University of Connecticut,06269,Connecticut,62.66,147.84,10360602.0,70079.82954545454
157085,University of Kentucky,40506-0032,Kentucky,62.0,168.14,8563925.0,50933.299631259666
131469,George Washington University,20052,District of Columbia,61.0,185.5,13469776.0,72613.34770889489
